year,price_frf_250g,price_eur_250g
1960,0.300,0.05
1961,0.317,0.05
1962,0.400,0.06
1963,0.430,0.07
1964,0.440,0.07
1965,0.440,0.07
1966,0.440,0.07
1967,0.450,0.07
1968,0.530,0.08
1969,0.550,0.08
1970,0.570,0.09
1971,0.600,0.09
1972,0.670,0.10
1973,0.700,0.11
1974,0.800,0.12
1975,0.900,0.14
1976,1.040,0.16
1977,1.120,0.17
1978,1.270,0.19
1979,1.490,0.23
1980,1.670,0.26
1981,1.870,0.29
1982,2.060,0.31
1983,2.280,0.35
1984,2.470,0.38
1985,2.600,0.40
1986,2.680,0.41
1987,2.760,0.42
1988,2.920,0.45
1989,3.030,0.46
1990,3.140,0.48
1991,3.120,0.48
1992,3.533,0.54
1993,3.664,0.56
1994,3.765,0.57
1995,3.832,0.58
1996,3.915,0.60
1997,3.974,0.61
1998,4.019,0.61
1999,4.102,0.63
2000,4.193,0.64
2001,4.318,0.66
2002,4.484,0.68
2003,4.657,0.71
2004,4.834,0.74
2005,4.921,0.75
2006,5.029,0.77
2007,5.216,0.80
2008,5.449,0.83
2009,5.487,0.84
2010,5.491,0.84
2011,5.615,0.86
2012,5.675,0.87
2013,5.697,0.87
2014,5.699,0.87
2015,5.667,0.86
2016,5.690,0.87
2017,5.695,0.87
2018,5.744,0.88
2019,5.763,0.88
2020,5.904,0.90
2021,6.036,0.92
2022,6.168,0.94
2023,6.301,0.96
2024,6.433,0.98
2025,6.566,1.00
