year,title,artist,__parsed_extra,deezerId
1960,,,,136710424
1960,"Souvenirs souvenirs",Johnny Hallyday,,571109
1960,Tu t’laisses aller,Charles Aznavour,,3148142
1960,Itsy Bitsy Petit Bikini,Dalida,,131258148
1960,Are You Lonesome Tonight,Elvis Presley,,462975322
1960,Love Me Do,The Beatles,,116348592
1961,Tous les garçons et les filles,Françoise Hardy,,540002
1961,L’école est finie,Sheila,,795210
1961,Belles! Belles! Belles!,Claude François,,5702259
1961,Hit the Road Jack,Ray Charles,,62882810
1961,Surfin’ USA,The Beach Boys,,3091966
1962,,,,44972281
1962,La Bohème,Charles Aznavour,,3413187
1962,Le temps des fleurs,Dalida,,139876159
1962,Santiano,Hugues Aufray,,2235136
1962,Satisfaction,The Rolling Stones,,7677778
1962,Blowin’ in the Wind,Bob Dylan,,75768709
1963,,,,4246249
1963,L’amitié,Françoise Hardy,,539923
1963,La Javanaise,Serge Gainsbourg,,508426542
1963,She Loves You,The Beatles,,116348596
1963,You Really Got Me,The Kinks,,143026320
1963,,,,72518470
1964,,,,3091964
1964,Le Pénitencier,Johnny Hallyday,,2329884
1964,Amsterdam,Jacques Brel,,121672886
1964,Sacré Charlemagne,France Gall,,639971872
1964,Baby Love,The Supremes,,1182497
1964,The House of the Rising Sun,The Animals,,3155135
1965,,,,141165331
1965,L’amour avec toi,Michel Polnareff,,1117107
1965,Tombe la neige,Adamo,,854688952
1965,Le temps de l’amour,Françoise Hardy,,1384472042
1965,Like a Rolling Stone,Bob Dylan,,14477354
1965,(I Can’t Get No) Satisfaction,The Rolling Stones,,7677778
1966,,,,922605
1966,Les Sucettes,Serge Gainsbourg,,508426752
1966,Chez Laurette,Michel Delpech,,2232685
1966,Bang Bang,Sheila,,687712
1966,Good Vibrations,The Beach Boys,,3091992
1966,Mr. Tambourine Man,The Byrds,,1015090
1967,,,,74245835
1967,"Et moi, et moi, et moi",Jacques Dutronc,,539703
1967,Le Sud,Nino Ferrer,,70659551
1967,Harley Davidson,Brigitte Bardot,,1101462
1967,Purple Haze,Jimi Hendrix,,4952885
1967,Light My Fire,The Doors,,3614129
1968,,,,1762624107
1968,L’Amérique,Joe Dassin,,561698
1968,Comme d’habitude,Claude François,,1090312
1968,"Poupée de cire, poupée de son",France Gall,,639971642
1968,Hey Jude,The Beatles,,116348632
1968,White Room,Cream,,1175618
1969,,,,1117110
1969,Les bals populaires,Michel Sardou,,774810502
1969,Ce n’est rien,Julien Clerc,,3105615
1969,Que je t’aime,Johnny Hallyday,,14113667
1969,Whole Lotta Love,Led Zeppelin,,78671026
1969,Space Oddity,David Bowie,,107465566
1970,L’Amérique,Joe Dassin,,561698
1970,Les bals populaires,Michel Sardou,,774810502
1970,,,,66153045
1970,,,,2716190052
1970,Bridge Over Troubled Water,Simon & Garfunkel,,13174764
1970,Child in Time,Deep Purple,,3230170
1971,,,,769749602
1971,Je suis malade,Serge Lama,,2326603
1971,Les plaisirs démodés,Charles Aznavour,,625721602
1971,Mamy Blue,Nicoletta,,1124189
1971,Wish You Were Here,Pink Floyd,,116914042
1971,Baba O’Riley,The Who,,2121805
1972,,,,6429605
1972,Les divorcés,Michel Delpech,,1150377
1972,Le lundi au soleil,Claude François,,535660
1972,"Paroles, paroles",Dalida,,71560063
1972,Rocket Man,Elton John,,1144863
1972,Angie,The Rolling Stones,,2124880
1973,,,,97081744
1973,Laisse-moi t’aimer,Mike Brant,,3121388
1973,Les rois mages,Sheila,,739619
1973,Une belle histoire,Michel Fugain,,2199303667
